image_id,source,image_path,questions
1236e320-0e85-42c5-9717-f1afffe3e41e,bing,data/images/bing/train/1236e320-0e85-42c5-9717-f1afffe3e41e.jpg,Why is Anne so surprised? | Why is she excited? | How much did she get paid to be in this film? | What movie is this scene from? | What movie was this from?
3415bdf8-5f4b-4c7f-9522-7b510c359e83,bing,data/images/bing/train/3415bdf8-5f4b-4c7f-9522-7b510c359e83.jpg,Are those all dairy cows? | Why are these children on the farm? | Are these wild cows? | Were the girls a little bit afraid of the cows? | Are those cows rushing those children?
733f1063-f7e1-42a4-9ad5-6fbc4ac7ed68,bing,data/images/bing/train/733f1063-f7e1-42a4-9ad5-6fbc4ac7ed68.jpg,What is the reason for this banquet? | How many people went to this event? | Did you enjoy this dinner? | What event was that at? | What is this presentation about?
39ad91db-5a83-4cf2-9ce1-152c1cc7dabd,bing,data/images/bing/train/39ad91db-5a83-4cf2-9ce1-152c1cc7dabd.jpg,Did one person make all of these snowmen? | Who made those snowmen? | Where were these snowman made? | Who made the snowmen? | Who built all of these snowmen?
d5e56382-2f23-4af6-9213-f223775fe7a3,bing,data/images/bing/train/d5e56382-2f23-4af6-9213-f223775fe7a3.jpg,What breed of dog is that? | Is that your home? | What does the woman have in her hand? | What kind of dog does she have? | Is this house located on an ocean?
ccde70cb-9a36-4940-b4a1-4ec4f945155f,bing,data/images/bing/train/ccde70cb-9a36-4940-b4a1-4ec4f945155f.jpg,Is this a football field? | How tall is this goal? | How many feet apart is the end goal? | Is that a high school football field? | Who comes to play here?
9eded3ff-d684-47a8-b232-ee489729732f,bing,data/images/bing/train/9eded3ff-d684-47a8-b232-ee489729732f.jpg,What are those products used for? | What is the main function of those? | What are those used for? | What equipment is this? | What do these devices do?
bc1dbbfb-075f-421a-a4b4-9d7b9438c37c,bing,data/images/bing/train/bc1dbbfb-075f-421a-a4b4-9d7b9438c37c.jpg,What are they getting ready for? | Are they related? | Why is the man grabbing his vest? | Why is that man touching the other guy like that?
314392,coco,data/images/coco/train/314392.jpg,What is she drinking? | What are you drinking? | What is her name? | What is this person drinking? | Who is she?
114786,coco,data/images/coco/train/114786.jpg,Whose wedding is it? | How long were they engaged? | What are their names? | Did they just get married? | Is the man helping a woman cut cake?
19719,coco,data/images/coco/train/19719.jpg,Do they bathe the zebras to make them look so nice? | Did you get to pet the zebra? | Why are their muzzles not striped? | How did you get so close? | Where is this?
314822,coco,data/images/coco/train/314822.jpg,Is that grilled cheese? | How did taste? | What kind of toast is that? | What type of soup is that? | How much did that cost?
401390,coco,data/images/coco/train/401390.jpg,What kind of sandwich is that? | Is there cheese on the sandwich? | What type of bread is that? | You don't put cheese on your turkey sandwiches? | What is on that sandwich?
279697,coco,data/images/coco/train/279697.jpg,How long did they ski? | Are these people skiing downhill? | Are they good at skiing? | What mountain is this? | How hard is that slope?
131113,coco,data/images/coco/train/131113.jpg,What is the brand of the refrigerator? | Is that a new fridge? | Is the fridge new? | Whose kitchen is this? | What model fridge is this?
305215,coco,data/images/coco/train/305215.jpg,Is that a whole meal? | What is the brown sauce? | Who prepared this meal | Are those bananas supposed to be that color? | What are you making?
1180615398__72157601586287268,flickr,data/images/flickr/train/1180615398__72157601586287268.jpg,How far have they travelled already? | How long have they been hiking? | How tired is he? | What mountain are they hiking? | Where is he hiking to?
29833580__687402,flickr,data/images/flickr/train/29833580__687402.jpg,Did Aunt Ann like the meal? | When did they finish eating? | How good was the food? | Is that your dining room? | Was this a tea party?
585654__14521,flickr,data/images/flickr/train/585654__14521.jpg,Is it hard to dj? | What record is he playing? | What is the album being played? | What record is he playing? | Is this a professional DJ?
693001802__72157600599105135,flickr,data/images/flickr/train/693001802__72157600599105135.jpg,How much snow is on the ground? | Is this a paved road? | What street is that? | Where does the road lead? | How slippery is the ice?
67342730__1453820,flickr,data/images/flickr/train/67342730__1453820.jpg,Did the Gators just win a game? | Do these football players get rewards for winning a game? | Were you on the football team? | Did they win? | Was this before or after the game?
2588599948__72157605894171815,flickr,data/images/flickr/train/2588599948__72157605894171815.jpg,Are these guys in class? | Who is the guy looking at the camera? | Is he going to lick his ear? | Are they in high school? | Are they brothers?
3851352836__72157622001375271,flickr,data/images/flickr/train/3851352836__72157622001375271.jpg,What is that squirrel doing? | Is this picture of one of the squirrel you feed in your backyard? | How fast can this squirrel climb a branch? | How awesome is this squirrel? | Is this squirrel on drugs?
6639393715__72157628726341439,flickr,data/images/flickr/train/6639393715__72157628726341439.jpg,When was this taken? | What is this structure for? | What is that buidling? | What kind of building is that? | Who designed these buildings?
