image_id,image_url,query_term,questions,captions,wayback_timestamp,source_type
1236e320-0e85-42c5-9717-f1afffe3e41e,http://images5.fanpop.com/image/photos/26900000/Becoming-Jane-becoming-jane-26988361-2048-1365.jpg,becoming,Why is Anne so surprised?---Why is she excited?---How much did she get paid to be in this film?---What movie is this scene from?---What movie was this from?,A lady acting out a scence with candles about her in a fancy dress wearing jewlery.---A woman with dark hair looking happy while sitting at a table with candles on it---A woman with a look of surprise and her hands on her chest with two candles burning.---A woman wwearing a dress is sitting in front of two candles.---A woman in an old dress near some lit candles,,original
3415bdf8-5f4b-4c7f-9522-7b510c359e83,http://3.bp.blogspot.com/-ab0Cd4ZbYTw/Thhb-MBqOII/AAAAAAAAAb8/WOqr-Q03FLw/s1600/June+%2527+11+091.jpg,visits,Are those all dairy cows?---Why are these children on the farm?---Are these wild cows?---Were the girls a little bit afraid of the cows?---Are those cows rushing those children?,Four children are facing towards a green meadow with cows---Young girls in a field looking at cows---A group of kids look onto a herd of cattle in a field---Children watch cows in a field.---Children watching as cattle walk through a grassy field,,original
733f1063-f7e1-42a4-9ad5-6fbc4ac7ed68,http://www.premieremulti.com/wp-content/uploads/2012/12/premiere-social-events.jpg,social event,What is the reason for this banquet?---How many people went to this event?---Did you enjoy this dinner?---What event was that at?---What is this presentation about?,People sit at tables at a gala event while a video plays on the screen.---Seated crowd attending conference in large hall with presentation on screen---A  group of people seated at a banquet with a presenter having a video running.---A large crowd sitting down to dinner---People seated at tables in formal wear view a presentation,,original
39ad91db-5a83-4cf2-9ce1-152c1cc7dabd,http://static.guim.co.uk/sys-images/Guardian/Pix/pictures/2013/1/20/1358697125146/Dorking--A-family-of-snow-017.jpg,snow,Did one person make all of these snowmen?---Who made those snowmen?---Where were these snowman made?---Who made the snowmen?---Who built all of these snowmen?,A group of tiny snowmen with stick arms outstretched---A group of snowmen with their stick arms spread wide---A group of snow men with their hands up in the middle of a snow field.---Three small snowmen and two large snowmen are posing for a family picture---A snowman family,,original
d5e56382-2f23-4af6-9213-f223775fe7a3,http://dogs.thefuntimesguide.com/files/walking-dog-around-new-house.jpg,moving to a new house,What breed of dog is that?---Is that your home?---What does the woman have in her hand?---What kind of dog does she have?---Is this house located on an ocean?,A woman walking a dog in front of her house---A woman walks a dog on a leash outside of a house.---A woman walking her dog outside of a two story house---A nice large home with a lady taking her dog out for a walk through their grassy lawn.---A woman walks with a black dog in front of a large house,,original
ccde70cb-9a36-4940-b4a1-4ec4f945155f,http://fc01.deviantart.net/fs70/i/2012/135/4/1/field_goal_post_stock_by_avenueimage-d4zu0w4.jpg,field goal,Is this a football field?---How tall is this goal?---How many feet apart is the end goal?---Is that a high school football field?---Who comes to play here?,A football goal post at the end of a grass field---A football field goal pole situated on an empty field.---The uprights of a football field in the middle of the day---white metal field goal posts on a grassy field that is with lights on either side---Poles erected for a sporting even in a grassy field,,original
9eded3ff-d684-47a8-b232-ee489729732f,http://www.carid.com/images/brand/suncore/151g-31-f_v1_20110921.jpg,strut,What are those products used for?---What is the main function of those?---What are those used for?---What equipment is this?---What do these devices do?,Two auto shock absorbers---Two black car shocks---Two springs---Two pieces of black colored metal contraptions next to each other---Two black shock absorbers with spiraled coils,,original
bc1dbbfb-075f-421a-a4b4-9d7b9438c37c,http://3.bp.blogspot.com/-9Nhuq5QK7B8/U8bYqh2nDBI/AAAAAAAAFEc/EQV6SQBO7dw/s1600/DSCN0773.JPG,microphoning,What are they getting ready for?---Are they related?---Why is the man grabbing his vest?---Why is that man touching the other guy like that?,White haired man in Hawaiian shirt straightening clothing of man in red shirt with sunglasses on head---A man in Hawaiian shirt fixing the shirt of a woman---A man in a Hawaiian shirt adjusts someone's vests---A man adjusting something on another mans shirt in a room.---An older man reaching out and adjusting the black vest of another older man.,,original
95c47102-60b4-48e8-aefd-22817f5b794c,http://farm4.staticflickr.com/3074/2838528418_0ee3053288_z.jpg,cleared,What is under the rocks?---Where was this taken?---Is that a cave in the bushes?---Is that pile of rocks a burial ground?---Did the pile of rubble used to be a home?,A pile of rocks in a dirt clearing in the scrubby woods---Pile of grey colored rocks in dirt covered field in front of trees---A sandy outdoor area.---An empty dirt are with a large pile of rocks---A large pile of rocks in a dirt area that is surrounded by trees,,original
35d6f1ae-3060-4817-aa34-5316cd1925c5,http://3.cdn.nhle.com/stars/images/upload/2010/12/12.1.10GJ051_slide.jpg,visits,Was this done by make a wish?---Why is this child in the hospital?---Why was he in the hospital?---Did the boy get better?---Why is this boy in the hospital?,"Three athletes wearing jerseys sitting next to a boy in a hospital bed---A sports team gathered around a sick boy in the hospital---A group of people in sport jerseys taking a picture with a boy in a hospital bed---Three men in black, Dallas hockey jerseys around a boy in a hospital bed with a blue blanket---A man laying in a hospital bed surrounded by three men wearing Dallas hockey jerseys",,original
02a65b9f-a629-4c57-a7db-174c7ebc1a2c,http://spaceinimages.esa.int/var/esa/storage/images/esa_multimedia/images/2013/02/columbus_launched_onboard_space_shuttle_atlantis/12512695-1-eng-GB/Columbus_launched_onboard_Space_Shuttle_Atlantis.jpg,launched,What is the name of this rocket ship?---What was the radius of smoke dissipation from the rocket launch?---When was the lift off happened?---Where did the shuttle travel to?---Which one of the space shuttles is on that rocket?,A ground level view of a space rocket launching off with clouds of smoke billowing out from below.---rocket shooting off leaving smoke and fire behind it---A space shuttle takes off with a plume of smoke in a field---Rocket taking off---A rocket launches into the sky with clouds below,,original
64d00386-3e6a-4c41-8ac8-b26015265844,http://createdigitalmusic.com/files/2013/05/pcusack_chernobyl2007.jpg,affected,How old is this gentleman?---Who is he?---What is he recording?---What is he recording?---What is the man listening to on his headphones?,A man outside holding recording equipment---White haired man walking through a field holding a boom microphone and carrying a backpack---A researcher is investigating the field---A man holding recording equipment and wearing a backpack standing in a field---A man holds a microphone in a field while wearing a backpack.,,original
2a767c85-68b4-4011-a419-fae21a11133b,http://www.themuslimtimes.org/wp-content/uploads/2013/01/muslim_prayer_beads.jpg,pray,Are those rosary beads the man is holding?---What is the significance of the beads that the man is holding?---How many rosaries have you owned in your lifetime?---What is the man praying for?---What prayer is he doing?,Did not load---Did not load---Did not load---Did not load---Did not load,,original
ad79ba49-f842-4432-90f4-d9ec4e3c04d3,http://media.breitbart.com/media/2015/02/concealed-carry-AP-640x480.jpg,contributed,How many bullets dose that hold?---Did they have a permit for that gun?---What kind of gun is this?---Is he proficient at shooting the firearm?---Is he being arrested?,A person in jeans and a black shirt has a gun holstered at their hip---A hand gun in a holster tied to a man's hip.---A person with a gun in a holster.---A man wearing a holstered black handgun on this hip---A man with a gun in a holster on his hip,,original
4bb814a5-cd4b-4e41-88de-679894a4969e,http://3.bp.blogspot.com/_0vQee8oZXq8/TCXCQwHQJ1I/AAAAAAAATVs/iqIAnwtQJX4/s1600/Aprilia%2BShiver%2B750e.jpg,shiver,Have you ever ridden a motorcycle?---How much does this motorcycle cost?---What is the cost for this motorbike?---What country made the brand of this motocycle?---Who does this bike belong to?,"A black and gold painted dirt bike.---A motorcycle resting on it's kickstand---A motorcycle that is black and gold stands on concrete---A sleek street scooter sitting on the road---A parked motorcycle that is black, silver, and gold",,original
6004d6cb-107c-43c4-b7a4-b601b0ebe55e,http://know1radio.files.wordpress.com/2013/10/186378606.jpg,world series,Did they just win the game?---IS the game over?---Did the Red Sox win the game?---Did the Red Sox just win the game?---What was the ruling on the play?,A professional baseball team celebrating a victory---Baseball players are celebrating on the field.---A baseball team celebrates in a crowded stadium---Red Sox players celebrating---A picture of a group of Red Sox baseball players celebrating on the field.,,original
da74b576-1b23-4833-ae69-f0267e6ab9c7,http://static1.businessinsider.com/image/5441663decad04451a388163/president-obama-says-his-credit-card-was-declined-at-an-nyc-restaurant.jpg,declined,When was this picture of Obama taken?---Why is Obama so sad?---What was bothering him?---what where the circumstances surrounding this picture?---Is Obama praying?,"Barack Obama standing with his eyes closed and a blank look.---President Barack Obama is looking down solemnly against a blurred greenish background---The President looking down with his eyes closed---Barack Obama looking down with a solemn expression---Close-up Barack Obama in suit, looking downward in pensive mood.",,original
a41d20d6-a070-41ad-800d-0c0d1c2e6a19,http://samomatic.com/wordpress/wp-content/uploads/2009/09/factory1.jpg,line of work,What are they making?---What are they making in this factory?---What kind of gadget are they assembling?---Did the workers seem to enjoy their work?---What are they making?,An assembly line with many workers wearing blue shirts and white hats---An assembly line of workers---Factory workers on an assembly line---Factory workers---men and women working on either side of an assembly line wearing hats,,original
