image_id,source,image_url,questions,source_type
1236e320-0e85-42c5-9717-f1afffe3e41e,bing,http://images5.fanpop.com/image/photos/26900000/Becoming-Jane-becoming-jane-26988361-2048-1365.jpg,Why is Anne so surprised? | Why is she excited? | How much did she get paid to be in this film? | What movie is this scene from? | What movie was this from?,original
3415bdf8-5f4b-4c7f-9522-7b510c359e83,bing,http://3.bp.blogspot.com/-ab0Cd4ZbYTw/Thhb-MBqOII/AAAAAAAAAb8/WOqr-Q03FLw/s1600/June+%2527+11+091.jpg,Are those all dairy cows? | Why are these children on the farm? | Are these wild cows? | Were the girls a little bit afraid of the cows? | Are those cows rushing those children?,original
733f1063-f7e1-42a4-9ad5-6fbc4ac7ed68,bing,http://www.premieremulti.com/wp-content/uploads/2012/12/premiere-social-events.jpg,What is the reason for this banquet? | How many people went to this event? | Did you enjoy this dinner? | What event was that at? | What is this presentation about?,original
39ad91db-5a83-4cf2-9ce1-152c1cc7dabd,bing,http://static.guim.co.uk/sys-images/Guardian/Pix/pictures/2013/1/20/1358697125146/Dorking--A-family-of-snow-017.jpg,Did one person make all of these snowmen? | Who made those snowmen? | Where were these snowman made? | Who made the snowmen? | Who built all of these snowmen?,original
d5e56382-2f23-4af6-9213-f223775fe7a3,bing,http://dogs.thefuntimesguide.com/files/walking-dog-around-new-house.jpg,What breed of dog is that? | Is that your home? | What does the woman have in her hand? | What kind of dog does she have? | Is this house located on an ocean?,original
ccde70cb-9a36-4940-b4a1-4ec4f945155f,bing,http://fc01.deviantart.net/fs70/i/2012/135/4/1/field_goal_post_stock_by_avenueimage-d4zu0w4.jpg,Is this a football field? | How tall is this goal? | How many feet apart is the end goal? | Is that a high school football field? | Who comes to play here?,original
9eded3ff-d684-47a8-b232-ee489729732f,bing,http://www.carid.com/images/brand/suncore/151g-31-f_v1_20110921.jpg,What are those products used for? | What is the main function of those? | What are those used for? | What equipment is this? | What do these devices do?,original
bc1dbbfb-075f-421a-a4b4-9d7b9438c37c,bing,http://3.bp.blogspot.com/-9Nhuq5QK7B8/U8bYqh2nDBI/AAAAAAAAFEc/EQV6SQBO7dw/s1600/DSCN0773.JPG,What are they getting ready for? | Are they related? | Why is the man grabbing his vest? | Why is that man touching the other guy like that?,original
95c47102-60b4-48e8-aefd-22817f5b794c,bing,http://farm4.staticflickr.com/3074/2838528418_0ee3053288_z.jpg,What is under the rocks? | Where was this taken? | Is that a cave in the bushes? | Is that pile of rocks a burial ground? | Did the pile of rubble used to be a home?,original
35d6f1ae-3060-4817-aa34-5316cd1925c5,bing,http://3.cdn.nhle.com/stars/images/upload/2010/12/12.1.10GJ051_slide.jpg,Was this done by make a wish? | Why is this child in the hospital? | Why was he in the hospital? | Did the boy get better? | Why is this boy in the hospital?,original
02a65b9f-a629-4c57-a7db-174c7ebc1a2c,bing,http://spaceinimages.esa.int/var/esa/storage/images/esa_multimedia/images/2013/02/columbus_launched_onboard_space_shuttle_atlantis/12512695-1-eng-GB/Columbus_launched_onboard_Space_Shuttle_Atlantis.jpg,What is the name of this rocket ship? | What was the radius of smoke dissipation from the rocket launch? | When was the lift off happened? | Where did the shuttle travel to? | Which one of the space shuttles is on that rocket?,original
64d00386-3e6a-4c41-8ac8-b26015265844,bing,http://createdigitalmusic.com/files/2013/05/pcusack_chernobyl2007.jpg,How old is this gentleman? | Who is he? | What is he recording? | What is he recording? | What is the man listening to on his headphones?,original
